Agent,Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,Month
JMMY,Ktw99,1,200,0,0,February
JMMY,Davis754,5,262,1,200,February
JMMY,VBDTO19,1,30,0,0,February
JMMY,salam46,4,110,0,0,February
JMMY,lokman359,2,60,0,0,February
JMMY,mokter513,2,100,0,0,February
JMMY,aiza91MR,1,30,0,0,February
JMMY,Independent,2,300,1,1100,February
JMMY,kemana01J,4,190,0,0,February
JMMY,Reges0031,27,1440,2,1600,February
JMMY,haikal5140,1,50,0,0,February
JMMY,CABSp42,1,60,0,0,February
JMMY,Sumathi05,1,50,0,0,February
JMMY,faizul369,13,700,3,490,February
JMMY,senin797J,0,0,0,0,February
JMMY,mdjue40J,15,1115,0,0,February
JMMY,vila38,1,30,0,0,February
JMMY,biss51,10,200,0,0,February
JMMY,faris,37,4736,6,1806,February
JMMY,Inang44,1,20,0,0,February
JMMY,eong56HH,16,470,3,493,February
JMMY,enak27D,3,180,0,0,February
JMMY,MAJTO01,1,20,0,0,February
JMMY,roman490,1,30,0,0,February
JMMY,masa416to,2,60,0,0,February
JMMY,shra76MR,4,110,1,127,February
JMMY,LOVE192,1,50,0,0,February
JMMY,pepi32D,1,50,0,0,February
JMMY,buyan35,34,2580,1,1000,February
JMMY,manggo33J,2,82,1,200,February
JMMY,WKNTO14,2,70,0,0,February
JMMY,niczef60MR,3,127,0,0,February
JMMY,aiman40Z,1,100,1,200,February
JMMY,zama63MR,1,20,0,0,February
JMMY,nza523YN,2,60,0,0,February
JMMY,Zaidi51,18,1100,2,854,February
JMMY,JIM372,3,350,0,0,February
JMMY,mickiy660Z,8,320,0,0,February
JMMY,uwap79D,2,100,0,0,February
JMMY,ka098YN,2,100,1,150,February
JMMY,Milan30,2,100,0,0,February
JMMY,lepat37D,1,70,1,152,February
JMMY,hasrue20,7,554,1,1700,February
JMMY,rhdkami79D,20,980,5,1020,February
JMMY,tamang021Z,2,50,0,0,February
JMMY,Jacksparow7,1,50,0,0,February
JMMY,chap83,1,100,1,171,February
JMMY,awall48,2,100,0,0,February
JMMY,aman57,3,200,0,0,February
JMMY,HIJAU64,2,60,0,0,February
JMMY,REAL577J,1,50,0,0,February
JMMY,aman323YN,3,150,0,0,February
JMMY,nobaby788J,1,50,0,0,February
JMMY,andi57,1,30,0,0,February
JMMY,kelinn977J,1,30,1,100,February
JMMY,LAMPUU555,11,230,1,300,February
JMMY,sheff24J,1,20,0,0,February
JMMY,luso13D,5,230,0,0,February
JMMY,PAVIT040,16,850,0,0,February
JMMY,dika666,3,100,1,210,February
JMMY,senang512YN,16,480,0,0,February
JMMY,IDGB155,11,280,0,0,February
JMMY,Alex012,5,110,0,0,February
JMMY,tigu71MR,2,200,1,301,February
JMMY,Ramos616Z,4,300,2,231,February
JMMY,angkat92J,2,200,0,0,February
JMMY,tiktuk00,1,32,1,140,February
JMMY,boleh76HH,6,140,1,350,February
JMMY,lily07S,4,1500,0,0,February
JMMY,adib55,2,40,0,0,February
JMMY,luna40D,1,30,0,0,February
JMMY,BlackPanther999,6,120,0,0,February
JMMY,duri899YN,6,340,0,0,February
JMMY,NABIL83,1,50,0,0,February
JMMY,Agus291,1,30,0,0,February
JMMY,sukumaran36,2,80,0,0,February
JMMY,VBOTO53,1,30,0,0,February
JMMY,swepr04D,1,100,0,0,February
JMMY,Rusty55MK,1,30,0,0,February
JMMY,pusssss864r,1,30,0,0,February
JMMY,MYdin4030,2,220,0,0,February
JMMY,Heart981,3,150,0,0,February
JMMY,along632Z,1,20,0,0,February
JMMY,nerayan658,24,1390,6,1800,February
JMMY,ikal02MR,1,50,0,0,February
JMMY,KAWANYAA,1,20,0,0,February
JMMY,saroja96,1,30,1,400,February
JMMY,lili46D,0,0,0,0,February
JMMY,losak97D,3,70,0,0,February
JMMY,JENJEN68,1,60,0,0,February
JMMY,lina06,1,30,0,0,February
JMMY,almiji141,20,885,1,100,February
JMMY,fik15D,1,30,0,0,February
JMMY,Hadi383,2,200,0,0,February
JMMY,dik30D,2,100,1,270,February
JMMY,nares07Z,1,50,0,0,February
JMMY,rubel499,23,5050,5,5361,February
JMMY,Darie33J,1,100,0,0,February
JMMY,boss98,0,0,0,0,February
JMMY,aidil05J,4,80,1,150,February
JMMY,GOIB02,12,510,2,350,February
JMMY,privatejoee42J,1,20,0,0,February
JMMY,rend65HH,5,422.9,1,404,February
JMMY,smas93MR,1,50,0,0,February
JMMY,papap12,2,70,0,0,February
JMMY,coco17HH,1,50,0,0,February
JMMY,HATIK76,1,50,0,0,February
JMMY,beser53D,1,50,1,100,February
JMMY,violet35,10,1270,1,700,February
JMMY,jeckotr604Z,1,80,0,0,February
JMMY,taju18MR,1,20,0,0,February
JMMY,usap93D,1,30,0,0,February
JMMY,LOOVE68,6,600,0,0,February
JMMY,Cahna26,2,60,1,102,February
JMMY,jokiy30HH,1,100,0,0,February
JMMY,zack035,25,962,3,546,February
JMMY,pasir06D,1,50,0,0,February
JMMY,SAGOR33,101,7975,21,9355,February
JMMY,mater765,0,0,0,0,February
JMMY,Xenovia34,9,340,2,400,February
JMMY,zairimah32,5,150,0,0,February
JMMY,Rozaidi12,2,200,0,0,February
JMMY,Musa886,5,200,0,0,February
JMMY,busay17,16,1210,8,1373,February
JMMY,yadav92D,6,277,1,270,February
JMMY,hope49HH,1,50,0,0,February
JMMY,abangkavi3J,3,90,2,210,February
JMMY,Hakim657,3,96,1,100,February
JMMY,jangut15Z,1,20,0,0,February
JMMY,sapa69,1,40,0,0,February
JMMY,heran22HH,9,270,1,200,February
JMMY,tafa22MR,1,200,0,0,February
JMMY,riskii315,2,90,0,0,February
JMMY,hazlan98J,4,110,0,0,February
JMMY,Muhammad72,1,50,0,0,February
JMMY,ISFAZRUL62,18,999,4,1301,February
JMMY,gugu80,21,604,4,700,February
JMMY,MDABUBAKO84jj,4,370,2,1153,February
JMMY,Hossen632,2,200,0,0,February
JMMY,ricer34HH,2,80,0,0,February
JMMY,puncak37J,1,50,0,0,February
JMMY,Kocakk63J,2,40,0,0,February
JMMY,maatmen36,1,200,0,0,February
JMMY,JNHTO97,7,290,0,0,February
JMMY,koboy97D,10,1400,2,1466,February
JMMY,gorengan25,17,3240,3,2491,February
JMMY,duduk42,30,1610,6,1750,February
JMMY,siling97,1,50,0,0,February
JMMY,kuakui6288J,1,20,0,0,February
JMMY,GITO32,1,150,0,0,February
JMMY,Mrkim20,1,60,0,0,February
JMMY,rebeca44HH,5,230,1,208,February
JMMY,KJM381,1,100,0,0,February
JMMY,songe26D,40,6850,6,10650,February
JMMY,kucingTO,3,70,1,100,February
