Username,Case Deposit,Deposit Amount,Case Withdraw,Withdraw Amount,,,,,,,,,,,,
lepat37D,1,70,1,152,,,,,,,,,,,,
hasrue20,7,554,1,1700,,,,,,,,,,,,
rhdkami79D,20,980,5,1020,,,,,,,,,,,,
tamang021Z,2,50,0,0,,,,,,,,,,,,
Jacksparow7,1,50,0,0,,,,,,,,,,,,
chap83,1,100,1,171,,,,,,,,,,,,
awall48,2,100,0,0,,,,,,,,,,,,
aman57,3,200,0,0,,,,,,,,,,,,
HIJAU64,2,60,0,0,,,,,,,,,,,,
REAL577J,1,50,0,0,,,,,,,,,,,,
aman323YN,3,150,0,0,,,,,,,,,,,,
nobaby788J,1,50,0,0,,,,,,,,,,,,
andi57,1,30,0,0,,,,,,,,,,,,
kelinn977J,1,30,1,100,,,,,,,,,,,,
LAMPUU555,11,230,1,300,,,,,,,,,,,,
sheff24J,1,20,0,0,,,,,,,,,,,,
luso13D,5,230,0,0,,,,,,,,,,,,
PAVIT040,16,850,0,0,,,,,,,,,,,,
dika666,3,100,1,210,,,,,,,,,,,,
senang512YN,16,480,0,0,,,,,,,,,,,,
IDGB155,11,280,0,0,,,,,,,,,,,,
Alex012,5,110,0,0,,,,,,,,,,,,
tigu71MR,2,200,1,301,,,,,,,,,,,,
Ramos616Z,4,300,2,231,,,,,,,,,,,,
angkat92J,2,200,0,0,,,,,,,,,,,,
tiktuk00,1,32,1,140,,,,,,,,,,,,
boleh76HH,6,140,1,350,,,,,,,,,,,,
lily07S,4,1500,0,0,,,,,,,,,,,,
adib55,2,40,0,0,,,,,,,,,,,,
luna40D,1,30,0,0,,,,,,,,,,,,
BlackPanther999,6,120,0,0,,,,,,,,,,,,
duri899YN,6,340,0,0,,,,,,,,,,,,
NABIL83,1,50,0,0,,,,,,,,,,,,
Agus291,1,30,0,0,,,,,,,,,,,,
sukumaran36,2,80,0,0,,,,,,,,,,,,
VBOTO53,1,30,0,0,,,,,,,,,,,,
swepr04D,1,100,0,0,,,,,,,,,,,,
Rusty55MK,1,30,0,0,,,,,,,,,,,,
pusssss864r,1,30,0,0,,,,,,,,,,,,
MYdin4030,2,220,0,0,,,,,,,,,,,,
Heart981,3,150,0,0,,,,,,,,,,,,
along632Z,1,20,0,0,,,,,,,,,,,,
nerayan658,24,1390,6,1800,,,,,,,,,,,,
ikal02MR,1,50,0,0,,,,,,,,,,,,
KAWANYAA,1,20,0,0,,,,,,,,,,,,
saroja96,1,30,1,400,,,,,,,,,,,,
lili46D,0,0,0,0,,,,,,,,,,,,
losak97D,3,70,0,0,,,,,,,,,,,,
JENJEN68,1,60,0,0,,,,,,,,,,,,
lina06,1,30,0,0,,,,,,,,,,,,
almiji141,20,885,1,100,,,,,,,,,,,,
fik15D,1,30,0,0,,,,,,,,,,,,
Hadi383,2,200,0,0,,,,,,,,,,,,
dik30D,2,100,1,270,,,,,,,,,,,,
nares07Z,1,50,0,0,,,,,,,,,,,,
rubel499,23,5050,5,5361,,,,,,,,,,,,
Darie33J,1,100,0,0,,,,,,,,,,,,
boss98,0,0,0,0,,,,,,,,,,,,
